lines,highlight,time
1,TRUE,4.1
1,TRUE,1.35
1,TRUE,0.89
1,FALSE,11.11
3,TRUE,1.5
4,TRUE,1.6
4,FALSE,48.3
2,TRUE,2
3,TRUE,3
1,TRUE,2.6
1,FALSE,11
2,FALSE,12.7
2,TRUE,1.08
2,TRUE,2.3
1,TRUE,1.02
3,TRUE,1.7
1,FALSE,11.73
1,TRUE,2.3
3,FALSE,34.3
1,FALSE,7.95
2,FALSE,10.34
1,FALSE,7.7
2,FALSE,15
1,FALSE,46.97
2,FALSE,10.29
2,FALSE,12.48
2,TRUE,2.19
2,TRUE,1
3,FALSE,20.6
1,TRUE,0.9
4,TRUE,2.5
4,FALSE,22.3
2,TRUE,1.2
1,TRUE,2.43
2,FALSE,18.81
1,TRUE,1.49
2,FALSE,32.74
2,TRUE,1.7
1,FALSE,14.77
1,FALSE,5
3,TRUE,2.1
1,TRUE,0.73
2,TRUE,1.01
1,FALSE,3.8
3,FALSE,12.4
2,FALSE,26.4
4,TRUE,1.25
2,FALSE,10.3
1,TRUE,1.5
1,FALSE,11.9
1,TRUE,0.98
2,TRUE,2.1
2,FALSE,110.4
1,FALSE,11.7
4,FALSE,33.15
2,TRUE,2.2
4,TRUE,3.9
4,FALSE,28.6
2,TRUE,1.4
1,TRUE,3.2
4,TRUE,1.75
4,FALSE,28.48
4,TRUE,1.2
4,FALSE,11.6
1,TRUE,2.3
4,TRUE,1.41
2,TRUE,1.2
2,FALSE,8.53
2,TRUE,1.68
1,TRUE,2.28
1,TRUE,1.4
1,FALSE,17
2,FALSE,20.26
4,FALSE,32.58
2,FALSE,9.4
1,FALSE,11.8
2,TRUE,2.11
1,TRUE,1.8
4,TRUE,1.76
4,TRUE,1.42
4,FALSE,30.5
1,FALSE,4.9
3,TRUE,3.4
2,TRUE,0.94
1,TRUE,2.38
1,FALSE,25.29
2,TRUE,13.11
3,FALSE,15.24
2,TRUE,2.2
4,FALSE,36.6
4,TRUE,1.4
1,TRUE,1.49
4,FALSE,18.46
4,TRUE,1.62
4,FALSE,35
1,FALSE,6.68
4,TRUE,1.03
2,FALSE,9.03
3,FALSE,12.5
3,FALSE,16.44
3,TRUE,1.39
2,TRUE,2.87
2,FALSE,57.02
2,FALSE,34.39
2,FALSE,13.7
2,TRUE,2.56
2,FALSE,19.66
3,TRUE,4.48
3,FALSE,17.93
4,TRUE,2.95
4,FALSE,28.49
4,FALSE,36.5
4,TRUE,1
4,FALSE,110.32
4,TRUE,1.08
1,TRUE,1.35
3,TRUE,1.18
1,FALSE,14.38
3,TRUE,1.93
4,TRUE,1.24
2,TRUE,1.72
2,TRUE,1.7
1,TRUE,1
3,TRUE,1.2
4,FALSE,34.53
4,FALSE,20.7
2,FALSE,30.6
4,FALSE,13.42
3,TRUE,2
3,TRUE,2.29
2,TRUE,13.65
4,FALSE,39
3,FALSE,12.62
4,TRUE,1.1
3,FALSE,23.36
2,FALSE,9.4
4,FALSE,18.6
2,FALSE,15.55
2,TRUE,0.8
4,TRUE,1.12
4,FALSE,38.59
1,FALSE,6.74
2,FALSE,25.76
2,TRUE,0.92
3,TRUE,3
3,TRUE,0.93
4,TRUE,1.14
1,TRUE,0.57
4,TRUE,1.66
4,TRUE,1.7
4,FALSE,22.73
4,FALSE,45.1
3,TRUE,1.1
4,FALSE,25.99
1,FALSE,17.11
3,TRUE,1.6
3,FALSE,9.4
4,TRUE,1.4
4,FALSE,16
3,TRUE,2
3,TRUE,0.77
3,FALSE,10.44
3,FALSE,13.94
3,FALSE,13.63
3,TRUE,1.5
1,TRUE,1.01
1,FALSE,19.11
3,FALSE,21.44
4,TRUE,1.6
1,TRUE,0.69
3,FALSE,30.8
3,TRUE,0.76
1,FALSE,7.69
3,FALSE,20.94
3,FALSE,15.42
3,TRUE,1.3
1,TRUE,1.23
4,FALSE,54.17
1,FALSE,28.02
3,TRUE,1.3
3,FALSE,26.6
3,FALSE,29.98
3,TRUE,1.01
3,FALSE,15.1